DEPTH;CAL;NPHI;DT;GR;RHOB;RLLD;RT;BS
64.385.000;95.537;-0.0208;671.324;117.600;20.672;67.730.840;13.753.928;0    9.2500
64.390.000;95.594;-0.0208;671.324;117.500;20.700;64.798.809;13.513.502;0    9.2500
64.395.000;95.649;-0.0208;671.324;118.410;20.631;12.232.754;92.030.859;92.500
64.400.000;95.706;-0.0209;671.324;123.400;20.755;13.658.516;93.199.980;92.500
64.405.000;95.762;-0.0209;671.325;127.180;20.830;17.215.146;96.116.416;92.500
64.410.000;95.818;-0.0209;671.325;129.300;20.888;12.232.754;92.030.859;92.500
64.415.000;95.874;-0.0209;671.325;135.950;20.824;22.418.740;10.038.336;0    9.2500
64.420.000;95.930;-0.0208;671.325;141.280;20.922;23.755.332;10.147.937;0    9.2500
64.425.000;95.986;-0.0208;671.325;144.720;20.972;17.215.146;96.116.416;92.500
64.430.000;96.042;-0.0207;671.324;147.170;21.010;22.717.256;10.062.814;0    9.2500
64.435.000;96.098;-0.0207;671.324;153.170;21.038;41.733.975;11.622.185;0    9.2500
64.440.000;96.154;-0.0206;671.324;153.070;20.952;63.697.588;13.423.202;0    9.2500
64.445.000;96.211;-0.0206;671.324;152.980;20.874;77.089.629;14.521.349;0    9.2500
64.450.000;96.266;-0.0205;671.324;152.870;20.889;36.460.908;11.189.793;0    9.2500
64.455.000;96.300;-0.0206;671.324;146.720;20.819;48.642.021;12.188.645;0    9.2500
64.460.000;96.300;-0.0206;671.324;145.200;20.891;63.691.924;13.422.737;0    9.2500
64.465.000;96.300;-0.0207;671.324;140.460;20.950;79.023.125;14.679.896;0    9.2500
64.470.000;96.300;-0.0208;671.324;136.060;20.928;77.089.629;14.521.349;0    9.2500
64.475.000;96.300;-0.0209;671.324;134.190;20.812;75.153.223;14.362.564;0    9.2500
64.480.000;96.300;-0.0209;671.324;134.100;20.698;73.372.070;14.216.509;0    9.2500
64.485.000;96.300;-0.0210;671.324;136.540;20.585;71.609.043;14.071.941;0    9.2500
64.490.000;96.300;-0.0211;671.324;140.000;20.483;71.413.496;14.055.906;0    9.2500
64.495.000;96.300;-0.0211;671.324;145.980;20.516;71.413.496;14.055.906;0    9.2500
64.500.000;96.299;-0.0212;671.324;151.980;20.610;71.413.496;14.055.906;0    9.2500
64.505.000;96.301;-0.0213;671.324;151.880;20.705;71.413.496;14.055.906;0    9.2500
64.510.000;96.430;-0.0213;671.324;151.790;20.809;71.413.496;14.055.906;0    9.2500
64.515.000;96.574;-0.0212;671.324;151.690;20.828;71.411.016;14.055.703;0    9.2500
64.520.000;96.718;-0.0211;671.324;151.190;20.860;71.423.379;14.056.716;0    9.2500
64.525.000;96.861;-0.0210;671.324;145.440;20.971;71.370.918;14.052.415;0    9.2500
64.530.000;97.005;-0.0209;671.324;145.350;21.070;73.920.605;14.261.489;0    9.2500
64.535.000;97.149;-0.0208;671.324;139.160;21.115;76.656.094;14.485.799;0    9.2500
64.540.000;97.292;-0.0207;671.324;139.000;21.170;79.023.125;14.679.896;0    9.2500
64.545.000;97.438;-0.0206;671.324;132.920;20.971;24.740.273;10.228.702;0    9.2500
64.550.000;97.386;-0.0205;671.324;129.860;20.882;31.328.564;10.768.942;0    9.2500
64.555.000;97.188;-0.0204;671.324;126.660;20.785;35.077.549;11.076.359;0    9.2500
64.560.000;96.985;-0.0203;671.324;126.560;20.739;30.416.455;10.694.149;0    9.2500
64.565.000;96.882;-0.0202;671.325;133.740;20.781;9.226.992;89.566.133;92.500
64.570.000;96.762;-0.0201;671.325;141.170;20.795;3.394.854;76.583.779;92.500
64.575.000;96.644;-0.0200;671.325;144.530;20.651;8.659.805;80.901.040;92.500
64.580.000;96.527;-0.0200;671.325;150.510;20.511;6.500.244;87.330.195;92.500
64.585.000;96.410;-0.0199;671.325;150.430;20.540;9.821.543;90.053.662;92.500
64.590.000;96.292;-0.0198;671.324;150.330;20.593;12.232.754;92.030.859;92.500
64.595.000;96.175;-0.0196;671.324;146.510;20.650;19.788.691;98.226.729;92.500
64.600.000;96.058;-0.0195;671.324;144.060;20.798;63.949.180;13.443.833;0    9.2500
64.605.000;95.940;-0.0194;671.324;137.900;20.849;74.281.914;14.291.117;0    9.2500
64.610.000;95.823;-0.0193;671.324;135.850;20.810;81.080.859;14.848.629;0    9.2500
64.615.000;95.707;-0.0192;671.324;128.240;20.788;79.742.676;14.738.899;0    9.2500
