DEPTH;CAL;NPHI;DT;GR;RHOB;RLLD;RT;BS
29.100.000;88.030;-0.0350;613.679;641.810;-9.990.000;80.800;132.102;98.750
29.105.000;88.050;-0.0350;610.326;646.770;23.560;88.560;147.835;98.750
29.110.000;87.910;-0.0350;607.296;637.580;23.710;98.990;174.435;98.750
29.115.000;87.620;-0.0350;604.639;613.100;23.850;97.280;171.287;98.750
29.120.000;87.230;-0.0350;604.930;625.780;23.840;85.930;145.229;98.750
29.125.000;87.210;-0.0350;605.324;657.360;23.780;81.400;133.704;98.750
29.130.000;87.500;-0.0350;605.793;656.940;23.690;88.580;147.144;98.750
29.135.000;87.650;-0.0350;625.366;668.740;23.530;94.580;157.713;98.750
29.140.000;87.940;-0.0350;644.446;677.510;23.490;98.610;164.866;98.750
29.145.000;88.110;-0.0350;663.632;674.010;23.550;95.550;157.243;98.750
29.150.000;88.060;-0.0350;684.462;686.910;23.700;94.510;155.987;98.750
29.155.000;88.080;-0.0350;698.244;690.320;23.800;99.440;172.464;98.750
29.160.000;88.280;-0.0360;704.662;657.940;23.870;116.160;212.030;98.750
29.165.000;88.630;-0.0360;709.332;620.670;24.010;166.960;322.864;98.750
29.170.000;89.260;-0.0370;696.621;618.870;24.200;258.280;472.592;98.750
29.175.000;91.120;-0.0370;687.520;647.510;24.600;407.870;711.221;98.750
29.180.000;93.560;-0.0380;675.500;666.220;25.180;669.500;1.176.027;98.750
29.185.000;95.530;-0.0380;664.404;675.500;25.730;791.030;1.271.216;98.750
29.190.000;96.190;-0.0380;657.650;703.440;26.040;722.510;974.031;98.750
29.195.000;96.360;-0.0390;656.445;758.130;26.500;657.230;757.493;98.750
29.200.000;96.400;-0.0390;653.661;770.490;26.400;652.140;709.840;98.750
29.205.000;96.330;-0.0390;649.628;725.680;26.550;691.310;773.101;98.750
29.210.000;96.360;-0.0390;645.052;676.760;26.690;673.220;731.151;98.750
29.215.000;96.390;-0.0390;643.932;678.070;26.610;621.010;627.528;98.750
29.220.000;96.390;-0.0390;642.835;689.310;26.690;589.730;568.445;98.750
29.225.000;96.450;-0.0390;642.326;681.060;26.940;585.350;555.388;98.750
29.230.000;96.540;-0.0400;642.315;674.550;26.930;597.060;565.825;98.750
29.235.000;96.640;-0.0400;642.317;685.070;26.790;620.730;596.648;98.750
29.240.000;96.680;-0.0400;642.140;687.410;26.650;640.400;628.342;98.750
29.245.000;96.770;-0.0400;642.113;663.690;26.820;618.080;600.774;98.750
29.250.000;96.970;-0.0400;642.764;649.660;26.970;570.290;542.973;98.750
29.255.000;97.290;-0.0410;644.379;660.450;26.960;519.090;487.433;98.750
29.260.000;97.720;-0.0410;647.352;687.720;26.810;456.380;401.770;98.750
29.265.000;98.160;-0.0410;651.517;724.500;26.620;387.200;344.606;98.750
29.270.000;98.560;-0.0410;656.013;762.720;26.640;372.110;332.113;98.750
29.275.000;98.900;-0.0410;660.360;812.890;26.610;384.940;359.234;98.750
29.280.000;99.100;-0.0410;663.580;843.930;26.700;400.360;390.255;98.750
29.285.000;99.210;-0.0410;669.028;862.260;26.550;411.230;417.334;98.750
29.290.000;99.260;-0.0410;673.032;862.790;26.580;398.320;412.353;98.750
29.295.000;99.230;-0.0410;674.685;836.760;26.500;349.580;362.774;98.750
29.300.000;99.340;-0.0410;674.608;794.880;26.120;290.870;305.104;98.750
29.305.000;99.610;-0.0410;672.435;757.940;25.700;211.410;211.758;98.750
29.310.000;99.900;-0.0410;669.410;724.340;25.380;140.630;133.574;98.750
29.315.000;100.230;-0.0410;666.670;683.570;25.160;111.100;107.233;98.750
29.320.000;100.620;-0.0410;661.393;643.220;24.980;108.550;104.979;98.750
29.325.000;101.000;-0.0410;656.395;627.160;24.810;122.900;117.930;98.750
29.330.000;101.300;-0.0410;652.521;633.860;24.730;148.430;140.724;98.750
29.335.000;101.570;-0.0410;650.289;638.110;24.860;187.030;174.856;98.750
29.340.000;101.600;-0.0410;650.047;597.040;25.050;233.650;229.400;98.750
29.345.000;101.600;-0.0410;651.899;579.010;25.340;262.500;240.247;98.750
29.350.000;101.610;-0.0420;655.138;581.800;25.440;292.180;265.594;98.750
29.355.000;101.530;-0.0420;654.145;600.870;25.560;342.300;307.975;98.750
29.360.000;101.420;-0.0420;653.430;632.290;25.780;428.690;380.044;98.750
29.365.000;101.470;-0.0420;652.166;671.420;25.950;506.750;445.319;98.750
29.370.000;101.560;-0.0420;650.425;700.080;26.250;549.000;481.004;98.750
29.375.000;101.590;-0.0420;649.192;685.200;26.410;589.240;514.862;98.750
29.380.000;101.660;-0.0420;646.430;649.430;26.520;661.860;575.746;98.750
29.385.000;101.760;-0.0420;641.369;655.100;26.840;755.900;682.171;98.750
29.390.000;101.800;-0.0420;639.954;680.410;27.020;779.980;674.241;98.750
29.395.000;101.800;-0.0410;638.915;681.370;26.890;764.980;661.779;98.750
29.400.000;101.800;-0.0410;637.824;614.830;26.690;780.160;674.389;98.750
29.405.000;101.740;-0.0410;635.586;613.400;26.460;828.390;714.348;98.750
29.410.000;101.750;-0.0420;632.511;625.800;26.580;882.520;759.135;98.750
29.415.000;101.830;-0.0420;630.083;596.500;26.700;857.440;738.457;98.750
29.420.000;101.930;-0.0420;629.493;582.670;26.520;763.330;660.488;98.750
29.425.000;102.030;-0.0420;629.778;571.790;26.590;674.550;586.567;98.750
29.430.000;102.130;-0.0420;630.234;570.560;26.850;616.220;537.799;98.750
29.435.000;102.230;-0.0420;630.823;579.570;26.810;646.740;563.428;98.750
29.440.000;102.360;-0.0420;631.450;615.050;26.660;760.890;658.739;98.750
29.445.000;102.510;-0.0420;631.513;644.300;26.560;897.130;771.752;98.750
29.450.000;102.590;-0.0420;630.743;618.930;26.660;898.040;772.562;98.750
29.455.000;102.600;-0.0420;630.109;581.830;26.800;766.720;663.743;98.750
