DEPTH;CAL;NPHI;DT;GR;RHOB;RLLD;RT;BS
29.460.000;102.620;-0.0420;629.717;552.200;26.820;644.560;561.828;98.750
29.465.000;102.720;-0.0420;629.185;539.290;26.800;562.900;493.311;98.750
29.470.000;102.890;-0.0420;632.010;568.130;26.670;516.140;453.950;98.750
29.475.000;103.080;-0.0430;629.525;620.370;26.470;466.900;412.355;98.750
29.480.000;103.270;-0.0430;629.818;645.000;26.230;427.740;380.028;98.750
29.485.000;103.300;-0.0430;630.859;572.820;26.050;397.890;355.192;98.750
29.490.000;103.300;-0.0430;629.258;478.790;26.080;375.440;336.419;98.750
29.495.000;103.300;-0.0430;628.412;417.570;25.910;355.650;319.804;98.750
29.500.000;103.370;-0.0430;628.339;414.170;25.870;334.170;301.723;98.750
29.505.000;103.380;-0.0430;627.640;386.300;25.980;302.610;274.975;98.750
29.510.000;103.520;-0.0430;633.800;396.990;25.980;247.320;227.669;98.750
29.515.000;103.650;-0.0430;637.105;440.810;25.770;161.920;153.063;98.750
29.520.000;103.750;-0.0430;640.569;474.680;25.590;115.230;111.382;98.750
29.525.000;103.850;-0.0430;645.478;491.610;25.420;99.160;96.834;98.750
29.530.000;103.840;-0.0430;648.975;495.280;25.280;104.920;102.070;98.750
29.535.000;103.850;-0.0430;648.780;491.080;25.330;118.060;113.942;98.750
29.540.000;103.860;-0.0430;646.321;505.490;25.230;138.300;132.045;98.750
29.545.000;103.750;-0.0420;643.710;488.340;25.330;186.650;174.914;98.750
29.550.000;103.570;-0.0420;637.577;447.130;25.460;254.930;234.234;98.750
29.555.000;103.380;-0.0420;633.109;425.920;25.620;327.440;296.029;98.750
29.560.000;103.180;-0.0420;630.496;435.300;25.800;416.000;370.220;98.750
29.565.000;102.970;-0.0420;628.779;488.700;26.050;513.070;451.383;98.750
29.570.000;102.710;-0.0420;629.031;565.780;26.340;596.070;521.192;98.750
29.575.000;102.480;-0.0420;629.609;650.450;26.530;640.790;558.572;98.750
29.580.000;102.220;-0.0420;629.750;651.680;26.650;665.660;579.227;98.750
29.585.000;101.990;-0.0430;632.710;614.610;26.720;695.320;603.859;98.750
29.590.000;101.730;-0.0430;633.426;601.150;26.750;736.070;684.244;98.750
29.595.000;101.510;-0.0430;632.407;607.140;26.720;697.060;635.400;98.750
29.600.000;101.260;-0.0430;631.237;590.630;26.690;579.780;506.704;98.750
29.605.000;101.130;-0.0430;631.282;589.100;26.650;473.760;417.223;98.750
29.610.000;100.950;-0.0430;632.284;602.800;26.620;395.220;352.015;98.750
29.615.000;100.830;-0.0430;634.405;599.000;26.670;345.040;310.003;98.750
29.620.000;100.730;-0.0430;638.553;615.880;26.790;357.150;320.130;98.750
29.625.000;100.700;-0.0430;643.238;654.040;26.710;379.710;338.988;98.750
29.630.000;100.700;-0.0430;651.165;716.740;26.590;404.900;380.639;98.750
29.635.000;100.660;-0.0430;663.259;785.360;26.590;435.880;415.981;98.750
29.640.000;100.460;-0.0430;673.002;809.030;26.450;488.950;471.244;98.750
29.645.000;100.100;-0.0430;682.756;810.130;26.100;602.380;609.387;98.750
29.650.000;99.530;-0.0430;689.373;827.150;26.080;820.220;924.462;98.750
29.655.000;98.920;-0.0420;691.750;856.370;26.230;1.130.310;1.463.530;98.750
29.660.000;98.410;-0.0420;691.452;852.580;26.240;1.206.700;1.649.184;98.750
29.665.000;98.000;-0.0420;687.555;787.170;26.180;1.005.700;1.369.950;98.750
29.670.000;97.660;-0.0410;681.282;696.700;25.900;768.570;1.069.599;98.750
29.675.000;97.290;-0.0410;677.023;633.860;25.610;552.910;818.001;98.750
29.680.000;96.810;-0.0400;671.598;684.610;25.360;360.930;562.706;98.750
29.685.000;95.750;-0.0400;667.215;779.460;25.030;232.090;385.160;98.750
29.690.000;93.560;-0.0390;667.772;885.780;24.690;132.350;215.809;98.750
29.695.000;90.880;-0.0390;671.292;838.340;24.370;109.640;192.593;98.750
29.700.000;89.420;-0.0390;673.733;755.270;24.110;111.500;207.274;98.750
29.705.000;89.210;-0.0380;678.331;684.680;24.100;114.240;218.321;98.750
29.710.000;89.200;-0.0380;685.284;662.000;24.150;115.250;223.330;98.750
29.715.000;89.140;-0.0380;701.681;681.630;24.090;114.330;223.764;98.750
29.720.000;89.110;-0.0380;723.734;667.670;24.020;109.700;215.112;98.750
29.725.000;89.050;-0.0380;743.933;624.850;24.060;103.380;201.431;98.750
29.730.000;88.950;-0.0380;761.837;578.060;24.050;98.930;190.564;98.750
29.735.000;89.000;-0.0380;768.443;542.710;23.910;103.000;198.905;98.750
29.740.000;89.080;-0.0380;766.979;559.440;23.860;112.300;218.960;98.750
29.745.000;89.070;-0.0370;760.051;588.360;23.950;121.850;240.018;98.750
29.750.000;88.980;-0.0370;739.389;616.940;24.090;130.860;261.106;98.750
29.755.000;88.910;-0.0380;714.359;633.020;24.210;132.070;264.134;98.750
29.760.000;88.900;-0.0370;689.218;620.740;24.320;127.390;252.580;98.750
29.765.000;88.930;-0.0380;668.143;643.400;24.450;132.750;264.664;98.750
29.770.000;88.960;-0.0380;657.069;642.000;24.590;143.840;291.372;98.750
29.775.000;88.910;-0.0380;653.007;646.900;24.780;156.780;324.750;98.750
29.780.000;88.910;-0.0380;649.668;666.500;24.820;193.930;378.814;98.750
29.785.000;89.020;-0.0380;649.678;616.510;24.850;240.560;431.753;98.750
29.790.000;89.420;-0.0380;651.413;573.940;24.980;289.300;488.966;98.750
29.795.000;90.290;-0.0380;652.372;538.940;24.930;344.570;578.453;98.750
29.800.000;91.160;-0.0380;656.784;525.160;24.970;342.850;557.769;98.750
29.805.000;90.880;-0.0380;664.095;535.730;25.020;312.630;501.846;98.750
29.810.000;90.190;-0.0380;667.604;544.550;24.910;314.550;520.820;98.750
29.815.000;90.440;-0.0380;671.680;540.530;24.710;312.960;523.761;98.750
29.820.000;91.950;-0.0380;676.901;531.880;24.630;259.000;410.459;98.750
29.825.000;92.820;-0.0380;686.366;528.150;24.680;175.310;245.253;98.750
29.830.000;92.030;-0.0380;701.516;531.530;24.760;125.800;159.324;98.750
29.835.000;90.700;-0.0380;706.765;540.360;24.690;109.250;134.253;98.750
29.840.000;89.990;-0.0380;701.902;556.920;24.430;125.430;157.731;98.750
29.845.000;89.820;-0.0380;698.601;581.400;24.130;160.440;207.333;98.750
29.850.000;89.800;-0.0380;696.585;614.290;24.130;312.730;495.580;98.750
29.855.000;90.170;-0.0390;694.071;649.720;24.500;528.150;932.274;98.750
29.860.000;92.200;-0.0390;684.652;680.130;25.170;663.200;1.205.824;98.750
29.865.000;94.190;-0.0390;672.116;719.980;25.380;443.820;694.921;98.750
29.870.000;94.140;-0.0400;665.799;814.200;25.520;284.370;383.978;98.750
29.875.000;91.940;-0.0400;663.966;915.950;25.420;172.000;195.601;98.750
29.880.000;90.650;-0.0400;662.921;828.140;25.230;168.630;205.703;98.750
29.885.000;91.300;-0.0410;660.017;694.430;25.020;206.940;273.727;98.750
29.890.000;92.360;-0.0410;655.769;590.220;24.880;301.870;432.550;98.750
29.895.000;93.170;-0.0410;657.480;534.620;24.960;488.960;782.582;98.750
29.900.000;93.760;-0.0410;665.607;529.700;25.090;643.700;1.097.264;98.750
29.905.000;94.370;-0.0410;686.333;516.600;25.240;431.940;633.165;98.750
29.910.000;94.910;-0.0410;717.812;512.160;25.380;211.550;232.635;98.750
29.915.000;95.320;-0.0410;731.879;523.250;25.360;155.390;161.268;98.750
29.920.000;94.940;-0.0420;743.637;541.650;25.130;131.950;139.188;98.750
29.925.000;94.450;-0.0420;760.872;558.080;24.750;147.690;173.013;98.750
29.930.000;94.750;-0.0430;779.953;568.770;24.350;182.290;234.790;98.750
29.935.000;95.430;-0.0440;806.061;585.240;23.930;218.140;288.186;98.750
29.940.000;96.160;-0.0440;842.178;605.890;23.360;245.050;309.687;98.750
29.945.000;97.210;-0.0450;896.300;637.460;22.330;257.340;289.938;98.750
29.950.000;98.810;-0.0450;910.517;686.630;21.290;268.500;264.442;98.750
29.955.000;99.970;-0.0450;905.049;746.220;20.700;297.220;269.324;98.750
29.960.000;99.880;-0.0450;891.646;796.020;21.110;387.000;344.719;98.750
29.965.000;99.100;-0.0450;868.569;867.840;24.530;492.980;505.588;98.750
29.970.000;98.500;-0.0450;826.054;925.790;25.830;544.740;586.307;98.750
29.975.000;98.250;-0.0450;762.937;910.660;26.190;572.730;651.347;98.750
29.980.000;98.450;-0.0450;688.330;873.180;26.310;563.500;660.468;98.750
29.985.000;98.670;-0.0450;672.946;823.020;26.300;535.470;632.700;98.750
29.990.000;98.700;-0.0450;671.118;780.240;26.380;520.130;619.789;98.750
29.995.000;98.700;-0.0450;667.307;770.990;26.470;525.080;630.564;98.750
30.000.000;98.620;-0.0450;659.643;787.450;26.460;545.640;653.802;98.750
30.005.000;98.440;-0.0450;663.260;792.460;26.390;575.980;690.348;98.750
30.010.000;98.410;-0.0450;666.882;765.410;26.300;613.040;756.042;98.750
30.015.000;98.320;-0.0440;670.555;757.450;26.160;549.310;650.522;98.750
30.020.000;98.220;-0.0440;672.221;751.900;25.920;404.990;431.419;98.750
30.025.000;98.060;-0.0430;673.225;758.350;25.510;236.590;217.162;98.750
30.030.000;97.750;-0.0430;673.941;800.340;25.090;155.760;146.656;98.750
30.035.000;96.590;-0.0420;669.809;823.290;24.640;101.880;98.491;98.750
30.040.000;94.530;-0.0420;666.422;816.130;24.200;83.840;81.919;98.750
30.045.000;93.540;-0.0430;664.025;792.600;24.020;74.310;73.105;98.750
30.050.000;93.670;-0.0430;662.152;747.170;24.300;84.540;97.261;98.750
30.055.000;94.180;-0.0440;661.221;724.650;24.600;94.050;110.582;98.750
30.060.000;95.690;-0.0440;660.964;721.730;24.700;104.470;123.420;98.750
30.065.000;97.800;-0.0440;660.501;696.520;24.780;111.330;130.300;98.750
30.070.000;98.720;-0.0440;658.934;671.310;25.030;111.290;125.759;98.750
30.075.000;98.590;-0.0440;660.421;675.220;24.980;115.250;128.089;98.750
30.080.000;98.200;-0.0440;661.204;651.920;25.060;126.750;142.248;98.750
30.085.000;98.240;-0.0440;662.745;598.170;25.280;143.380;161.733;98.750
30.090.000;98.450;-0.0440;662.242;559.900;25.200;165.230;183.006;98.750
30.095.000;98.370;-0.0450;662.883;550.880;25.030;195.070;203.899;98.750
30.100.000;98.250;-0.0450;661.686;558.930;25.160;233.360;214.410;98.750
30.105.000;98.280;-0.0440;663.003;584.680;25.760;292.700;265.129;98.750
30.110.000;98.190;-0.0440;662.678;640.480;26.020;361.460;323.012;98.750
30.115.000;98.070;-0.0440;660.721;729.520;26.260;446.450;393.522;98.750
30.120.000;97.910;-0.0440;656.863;831.370;26.600;558.230;487.209;98.750
30.125.000;97.730;-0.0440;653.574;875.590;26.430;676.570;669.529;98.750
30.130.000;97.480;-0.0450;648.999;794.670;26.360;699.690;730.331;98.750
30.135.000;97.280;-0.0440;649.143;699.350;26.330;632.700;645.701;98.750
30.140.000;97.210;-0.0440;648.346;629.800;26.270;554.940;551.129;98.750
30.145.000;97.230;-0.0450;647.769;670.740;26.280;462.020;430.854;98.750
30.150.000;97.320;-0.0450;649.954;765.250;26.390;403.740;368.164;98.750
30.155.000;97.390;-0.0450;660.167;823.060;26.550;370.130;330.073;98.750
30.160.000;97.400;-0.0450;669.241;834.350;26.520;368.990;344.991;98.750
30.165.000;97.400;-0.0450;676.026;862.050;26.420;384.440;377.494;98.750
30.170.000;97.370;-0.0450;677.397;847.250;26.310;380.260;375.329;98.750
30.175.000;97.290;-0.0450;677.149;771.600;26.200;360.640;344.414;98.750
30.180.000;97.190;-0.0450;677.578;719.120;26.150;348.130;311.625;98.750
30.185.000;97.010;-0.0450;675.090;788.060;26.310;364.890;325.610;98.750
30.190.000;96.820;-0.0450;665.949;848.620;26.430;439.190;418.113;98.750
30.195.000;96.630;-0.0450;658.524;867.950;26.470;550.070;561.388;98.750
30.200.000;96.520;-0.0450;651.552;801.970;26.460;627.700;645.125;98.750
30.205.000;96.600;-0.0450;647.871;720.490;26.470;672.200;679.201;98.750
30.210.000;96.760;-0.0450;642.637;661.190;26.490;685.700;689.110;98.750
30.215.000;96.790;-0.0450;638.046;641.010;26.420;629.760;619.015;98.750
30.220.000;96.630;-0.0450;641.287;637.200;26.370;527.220;499.266;98.750
30.225.000;96.590;-0.0440;647.078;631.000;26.400;404.770;358.707;98.750
30.230.000;96.650;-0.0440;653.609;683.270;26.300;313.360;282.261;98.750
30.235.000;96.830;-0.0440;659.841;730.200;26.130;274.880;249.679;98.750
30.240.000;97.020;-0.0440;664.761;763.750;25.830;278.150;252.499;98.750
30.245.000;97.360;-0.0440;670.524;740.500;25.670;292.070;264.392;98.750
30.250.000;97.670;-0.0440;675.996;668.670;25.740;314.280;283.248;98.750
30.255.000;98.200;-0.0440;676.457;637.270;25.870;337.850;303.206;98.750
30.260.000;98.910;-0.0440;677.381;666.760;25.980;341.700;306.591;98.750
30.265.000;99.260;-0.0440;677.140;715.150;26.080;331.610;298.185;98.750
30.270.000;99.170;-0.0440;675.936;777.180;26.060;325.390;292.928;98.750
30.275.000;99.050;-0.0440;669.815;765.310;26.160;325.950;293.374;98.750
30.280.000;98.950;-0.0440;662.317;667.970;26.080;339.600;304.833;98.750
30.285.000;98.730;-0.0440;654.238;592.270;26.050;369.430;329.765;98.750
30.290.000;98.440;-0.0440;645.384;562.700;26.190;461.080;405.620;98.750
30.295.000;98.150;-0.0440;636.236;584.960;26.370;634.260;550.870;98.750
30.300.000;97.960;-0.0440;628.877;622.290;26.400;800.540;735.073;98.750
30.305.000;97.930;-0.0440;624.384;643.600;26.300;913.000;862.370;98.750
30.310.000;98.400;-0.0440;624.903;582.440;26.280;940.440;888.652;98.750
30.315.000;98.870;-0.0430;625.082;563.280;26.310;786.070;677.348;98.750
30.320.000;98.830;-0.0430;625.490;565.750;26.430;596.360;519.430;98.750
30.325.000;98.490;-0.0430;629.060;574.300;26.500;452.500;398.566;98.750
30.330.000;98.170;-0.0430;636.404;590.610;26.500;357.290;319.488;98.750
30.335.000;97.820;-0.0430;644.318;643.590;26.440;317.380;285.884;98.750
30.340.000;97.490;-0.0430;652.034;794.880;26.520;345.980;309.866;98.750
30.345.000;97.130;-0.0430;658.180;883.530;26.690;421.780;372.900;98.750
30.350.000;96.810;-0.0430;661.548;947.640;26.570;572.660;540.134;98.750
30.355.000;96.540;-0.0430;661.891;919.340;26.440;736.320;836.039;98.750
30.360.000;96.450;-0.0430;658.248;833.210;26.550;843.280;1.063.596;98.750
30.365.000;96.560;-0.0430;653.085;732.670;26.630;782.200;855.807;98.750
30.370.000;96.780;-0.0430;649.182;660.910;26.600;676.500;615.791;98.750
30.375.000;96.980;-0.0430;646.888;655.520;26.490;594.520;517.257;98.750
30.380.000;97.130;-0.0430;646.560;700.300;26.410;544.740;475.625;98.750
30.385.000;97.320;-0.0430;647.790;747.860;26.450;512.910;448.943;98.750
30.390.000;97.520;-0.0430;649.621;794.170;26.450;483.050;423.848;98.750
30.395.000;97.720;-0.0430;652.265;815.440;26.370;440.690;388.645;98.750
30.400.000;97.950;-0.0430;655.849;785.070;26.350;398.370;353.674;98.750
30.405.000;98.180;-0.0430;659.138;737.050;26.460;390.080;346.835;98.750
30.410.000;98.340;-0.0430;660.975;772.600;26.510;410.750;364.031;98.750
30.415.000;98.500;-0.0430;659.822;858.210;26.510;449.360;395.967;98.750
30.420.000;98.590;-0.0430;658.839;910.640;26.550;479.690;421.272;98.750
30.425.000;98.580;-0.0430;658.927;856.170;26.490;489.910;429.894;98.750
30.430.000;98.520;-0.0430;657.869;734.190;26.380;498.080;436.768;98.750
30.435.000;98.480;-0.0430;653.935;723.810;26.460;508.710;445.714;98.750
30.440.000;98.420;-0.0430;648.223;752.890;26.440;525.140;459.526;98.750
30.445.000;98.490;-0.0430;643.436;759.700;26.410;542.890;474.466;98.750
30.450.000;98.590;-0.0430;642.003;707.120;26.270;541.850;473.621;98.750
30.455.000;98.680;-0.0440;641.012;650.800;26.250;517.390;453.075;98.750
30.460.000;98.700;-0.0430;640.482;652.280;26.270;494.110;433.464;98.750
30.465.000;98.780;-0.0440;641.149;679.090;26.400;468.280;411.673;98.750
30.470.000;98.870;-0.0430;643.902;680.390;26.580;452.150;398.340;98.750
30.475.000;98.890;-0.0430;647.460;719.790;26.610;461.870;406.340;98.750
30.480.000;98.960;-0.0430;650.271;779.730;26.420;492.800;432.423;98.750
30.485.000;98.990;-0.0430;654.197;812.780;26.350;506.740;444.185;98.750
30.490.000;99.050;-0.0430;658.971;783.760;26.440;478.760;420.591;98.750
30.495.000;99.150;-0.0430;662.418;749.570;26.540;420.560;372.326;98.750
30.500.000;99.310;-0.0430;663.223;833.090;26.670;384.950;342.803;98.750
30.505.000;99.440;-0.0430;661.194;883.570;26.720;432.480;382.245;98.750
30.510.000;99.670;-0.0430;657.872;861.430;26.660;521.660;456.938;98.750
30.515.000;99.830;-0.0430;653.749;779.190;26.600;686.090;594.721;98.750
30.520.000;99.990;-0.0430;647.113;692.370;26.490;910.470;780.679;98.750
30.525.000;100.250;-0.0430;639.933;632.750;26.360;1.043.290;890.016;98.750
30.530.000;100.490;-0.0430;634.214;599.960;26.280;1.044.170;890.930;98.750
30.535.000;100.690;-0.0430;630.635;589.270;26.240;929.580;796.939;98.750
30.540.000;100.890;-0.0430;629.062;610.750;26.290;809.550;697.941;98.750
30.545.000;101.160;-0.0440;628.955;631.360;26.400;701.240;608.128;98.750
30.550.000;101.330;-0.0440;629.680;613.240;26.550;695.100;603.114;98.750
30.555.000;101.440;-0.0440;630.784;589.200;26.720;672.430;584.264;98.750
30.560.000;101.530;-0.0440;631.642;584.090;26.790;634.690;552.766;98.750
30.565.000;101.590;-0.0440;632.712;599.320;26.680;678.000;589.004;98.750
30.570.000;101.600;-0.0440;640.222;618.290;26.550;672.900;584.751;98.750
30.575.000;101.620;-0.0440;650.811;644.950;26.390;541.060;474.195;98.750
30.580.000;102.000;-0.0440;657.559;695.490;26.200;430.640;381.702;98.750
30.585.000;103.030;-0.0440;664.448;752.270;26.120;341.240;307.428;98.750
30.590.000;104.350;-0.0440;670.443;837.120;26.270;276.890;253.184;98.750
30.595.000;104.640;-0.0440;675.380;1.049.680;26.410;248.150;228.557;98.750
30.600.000;103.680;-0.0440;679.603;1.189.060;26.490;258.770;237.459;98.750
30.605.000;102.620;-0.0440;677.539;1.267.110;26.380;269.130;246.066;98.750
30.610.000;102.290;-0.0440;673.851;1.300.670;26.450;255.090;233.939;98.750
30.615.000;102.420;-0.0440;674.082;1.317.480;26.600;233.000;214.937;98.750
30.620.000;102.500;-0.0440;673.944;1.316.790;26.710;218.860;202.707;98.750
30.625.000;102.430;-0.0440;673.662;1.298.650;26.640;224.170;207.297;98.750
30.630.000;102.230;-0.0440;672.879;1.268.120;26.520;241.370;222.116;98.750
30.635.000;101.880;-0.0440;671.384;1.244.220;26.380;277.570;253.075;98.750
30.640.000;101.500;-0.0440;672.795;1.254.020;26.230;329.480;296.994;98.750
30.645.000;101.320;-0.0440;674.074;1.198.580;26.040;395.610;352.325;98.750
30.650.000;101.360;-0.0440;674.237;1.016.660;25.800;454.300;400.957;98.750
30.655.000;101.590;-0.0440;674.369;853.860;25.780;480.440;422.981;98.750
30.660.000;101.780;-0.0440;670.230;745.510;25.830;472.790;416.592;98.750
30.665.000;101.910;-0.0440;667.518;675.070;25.880;472.400;416.323;98.750
30.670.000;102.060;-0.0440;666.123;644.140;26.000;503.720;442.898;98.750
30.675.000;102.110;-0.0440;662.602;680.040;26.240;535.520;469.767;98.750
30.680.000;102.180;-0.0440;661.656;750.300;26.360;572.550;500.982;98.750
30.685.000;102.210;-0.0440;662.529;799.540;26.340;564.520;494.243;98.750
30.690.000;102.290;-0.0440;664.465;849.400;26.410;486.260;428.238;98.750
30.695.000;102.400;-0.0440;670.094;886.780;26.650;396.460;353.453;98.750
30.700.000;102.570;-0.0440;673.349;929.300;26.930;352.710;316.906;98.750
30.705.000;102.600;-0.0440;674.047;945.880;26.870;376.890;337.189;98.750
30.710.000;102.610;-0.0440;672.432;903.330;26.830;448.460;396.690;98.750
30.715.000;102.680;-0.0440;668.662;844.220;26.870;522.490;459.058;98.750
30.720.000;102.700;-0.0440;663.895;785.750;26.900;554.340;485.928;98.750
30.725.000;102.780;-0.0440;659.771;750.780;26.850;511.960;450.212;98.750
30.730.000;103.010;-0.0440;656.938;716.980;26.640;426.230;378.453;98.750
30.735.000;104.200;-0.0440;656.189;694.410;26.690;367.540;329.944;98.750
30.740.000;105.940;-0.0440;657.667;720.180;26.630;331.020;299.750;98.750
30.745.000;106.790;-0.0440;660.024;773.240;26.590;296.850;270.940;98.750
30.750.000;107.230;-0.0440;663.129;824.090;26.590;277.160;254.195;98.750
30.755.000;106.800;-0.0440;666.182;857.900;26.520;270.500;248.353;98.750
30.760.000;105.920;-0.0440;668.534;894.340;26.340;270.540;248.149;98.750
30.765.000;105.540;-0.0440;669.843;939.760;26.160;272.590;249.805;98.750
30.770.000;105.390;-0.0440;670.185;984.800;26.030;276.100;252.775;98.750
30.775.000;105.210;-0.0440;670.032;1.007.940;26.090;283.220;258.822;98.750
30.780.000;105.010;-0.0440;670.081;1.020.150;26.220;295.120;268.932;98.750
30.785.000;104.830;-0.0440;670.446;1.043.450;26.360;313.030;284.123;98.750
30.790.000;104.710;-0.0440;671.056;1.024.200;26.380;342.410;308.962;98.750
30.795.000;104.530;-0.0450;671.600;981.790;26.330;389.340;348.329;98.750
30.800.000;104.340;-0.0450;670.211;977.130;26.330;490.170;432.525;98.750
30.805.000;104.150;-0.0450;667.247;986.230;26.370;611.160;534.500;98.750
30.810.000;104.020;-0.0450;664.237;918.670;26.410;611.540;534.745;98.750
30.815.000;104.000;-0.0450;661.773;784.530;26.500;556.550;488.464;98.750
30.820.000;104.000;-0.0450;659.497;729.730;26.520;527.030;463.549;98.750
30.825.000;103.940;-0.0450;656.649;738.500;26.480;543.750;477.635;98.750
