DEPTH,CAL,NPHI,DT,GR,RHOB,RLLD,RT,BS,RLLD_log
3155.0,10.334,0.129,64.8158,63.655,2.585,47.114,41.5829,9.875,3.8525701967704147
3155.5,10.316,0.133,62.9915,60.013,2.614,53.824,47.2492,9.875,3.985719464350483
3156.0,10.304,0.126,62.1161,59.504,2.648,52.909,49.0278,9.875,3.968573456718533
3156.5,10.3,0.116,61.6747,57.269,2.661,43.741,38.7574,9.875,3.778285877355823
3157.0,10.303,0.121,61.9798,56.347,2.652,36.151,32.4338,9.875,3.5877046107394626
3157.5,10.354,0.136,62.1914,60.53,2.639,30.98,28.0882,9.875,3.4333418349887226
3158.0,10.482,0.153,63.7679,69.742,2.622,29.079,26.5089,9.875,3.3700162641785805
3158.5,10.649,0.171,65.4223,79.882,2.602,30.509,27.7783,9.875,3.4180217220524582
3159.0,10.793,0.176,66.6445,92.592,2.614,37.13,33.4361,9.875,3.6144252681889886
3159.5,10.692,0.166,65.5471,91.191,2.624,51.975,45.8769,9.875,3.9507628337440766
3160.0,10.539,0.143,64.1164,80.237,2.631,78.295,67.8705,9.875,4.360483743997406
3160.5,10.409,0.106,63.1243,67.706,2.638,70.493,61.2853,9.875,4.255513414108425
3161.0,10.334,0.088,62.6776,60.277,2.646,57.696,50.5194,9.875,4.055187847020907
3161.5,10.296,0.091,62.4298,58.694,2.648,49.225,43.3527,9.875,3.8964016245251893
3162.0,10.258,0.099,62.4918,64.474,2.639,45.636,40.3038,9.875,3.820696878734123
3162.5,10.237,0.105,62.7136,66.114,2.633,44.216,39.1216,9.875,3.7890867145309617
3163.0,10.222,0.099,64.1522,69.44,2.64,45.331,40.0356,9.875,3.813991125155051
3163.5,10.209,0.093,65.0709,75.01,2.633,47.664,41.9893,9.875,3.8641763959709263
3164.0,10.195,0.092,64.6386,73.882,2.632,51.007,44.8095,9.875,3.931962878207694
3164.5,10.171,0.1,63.7707,74.73,2.64,55.009,48.1713,9.875,4.007496808209138
3165.0,10.14,0.104,63.5477,78.285,2.658,57.877,50.566,9.875,4.058320069044732
3165.5,10.103,0.106,63.904,75.213,2.662,50.454,44.297,9.875,3.921062030078816
3166.0,10.088,0.103,64.3006,67.05,2.649,44.159,39.0081,9.875,3.7877967567849034
3166.5,10.083,0.108,64.8249,66.379,2.629,40.585,36.048,9.875,3.703398540213139
3167.0,10.079,0.118,65.7,69.34,2.609,39.454,35.1067,9.875,3.675135436321677
3167.5,10.074,0.127,66.698,74.407,2.599,40.373,35.8683,9.875,3.698161244712177
3168.0,10.07,0.125,67.9544,77.085,2.584,42.604,37.7153,9.875,3.7519481455809194
3168.5,10.065,0.119,68.3838,76.251,2.579,47.294,41.6078,9.875,3.8563834375574673
3169.0,10.061,0.112,67.8087,68.443,2.58,53.67,46.9866,9.875,3.9828541861887374
3169.5,10.056,0.107,66.2038,65.979,2.58,59.09,51.5375,9.875,4.079061705357583
3170.0,10.052,0.106,64.6265,64.985,2.597,63.602,55.3129,9.875,4.152644916392525
3170.5,10.048,0.108,63.4114,63.408,2.62,61.898,53.8852,9.875,4.125487868990859
3171.0,10.043,0.116,62.595,61.515,2.652,54.83,47.953,9.875,4.004237489415957
3171.5,10.039,0.128,62.1123,63.501,2.666,48.441,42.5651,9.875,3.8803465625675937
3172.0,10.034,0.138,61.7913,72.923,2.666,45.193,39.8352,9.875,3.8109422075883765
3172.5,10.03,0.135,61.8028,80.075,2.667,54.948,48.0453,9.875,4.006387283462959
3173.0,10.025,0.126,61.7158,82.067,2.668,82.304,70.8448,9.875,4.410419709175099
3173.5,10.021,0.106,62.361,83.614,2.663,111.37,94.7302,9.875,4.712857991405009
3174.0,10.017,0.076,62.4793,81.815,2.661,137.474,115.959,9.875,4.923434808317595
3174.5,10.012,0.051,62.0858,73.223,2.656,134.237,113.331,9.875,4.899606894435802
3175.0,10.008,0.038,60.3076,60.874,2.643,116.782,99.1361,9.875,4.760308948928983
3175.5,10.003,0.037,58.0646,51.824,2.636,103.179,88.0126,9.875,4.636465343968801
3176.0,9.999,0.042,56.587,49.229,2.636,94.615,80.979,9.875,4.549816025856014
3176.5,9.994,0.048,56.0773,51.868,2.65,89.385,76.6698,9.875,4.492952882867052
3177.0,9.99,0.053,56.1296,54.347,2.658,87.496,75.1097,9.875,4.4715930780329245
3177.5,9.986,0.059,56.6088,57.349,2.666,85.606,73.5475,9.875,4.449755374149209
3178.0,9.981,0.066,57.2524,61.228,2.662,82.453,70.9395,9.875,4.41222843403196
3178.5,9.977,0.076,59.5446,65.75,2.642,77.732,67.0294,9.875,4.353267013002457
3179.0,9.972,0.083,61.6888,69.629,2.639,71.146,61.5592,9.875,4.264734103700405
3179.5,9.968,0.089,63.9452,67.164,2.634,64.34,55.8858,9.875,4.16418152181088
3180.0,9.963,0.097,65.8884,65.288,2.644,58.318,50.8458,9.875,4.065910793559553
3180.5,9.964,0.112,66.0362,64.636,2.633,52.691,46.1196,9.875,3.9644446629744805
