,DEPTH,CAL,NPHI,DT,GR,RHOB,RLLD,RT,BS,positive_flag,negative_flag,RLLD_log
3402,4555.0,10.5495,0.0648,68.7048,84.468,2.6876,148.58,106.9774,9.25,,,5.001123533723661
3403,4555.5,10.549,0.0636,69.2652,84.465,2.6996,180.5378,130.7904,9.25,,,5.195940174130537
3404,4556.0,10.5476,0.0608,69.6758,84.851,2.6954,201.0078,146.0922,9.25,,,5.303343713276293
3405,4556.5,10.5464,0.0799,70.0639,87.024,2.7072,133.3912,95.698,9.25,,,4.893286164289112
3406,4557.0,10.5452,0.1048,70.4295,90.534,2.7138,88.3316,63.1425,9.25,,,4.481097914484076
3407,4557.5,10.544,0.1304,70.7293,92.993,2.7019,63.2788,45.2092,9.25,,,4.147550359942045
3408,4558.0,10.5428,0.1477,71.0122,94.493,2.691,51.164,36.2812,9.25,,,3.935036159737147
3409,4558.5,10.5415,0.1498,70.5386,95.389,2.6775,55.0762,39.2245,9.25,,,4.008717680921309
3410,4559.0,10.5403,0.1241,69.3942,94.055,2.6661,76.1248,54.4055,9.25,,,4.33237409876881
3411,4559.5,10.5391,0.0872,67.7749,90.52,2.6825,157.3565,113.5021,9.25,,,5.058513931840564
3412,4560.0,10.5379,0.0426,65.7307,80.666,2.6942,315.5392,231.584,9.25,,,5.754282921489845
3413,4560.5,10.5367,0.0263,63.6356,69.178,2.6862,536.8497,405.736,9.25,,,6.285718167064677
3414,4561.0,10.5354,0.0207,61.5681,60.905,2.7048,550.7618,416.9925,9.25,,,6.31130241078203
3415,4561.5,10.5342,0.0254,59.5977,54.033,2.715,433.0581,322.3942,9.25,,,6.070871899139709
3416,4562.0,10.533,0.0321,58.3595,52.815,2.6739,285.8013,209.45,9.25,,,5.655296814120831
3417,4562.5,10.5318,0.0407,57.7434,54.483,2.6791,194.7447,141.3992,9.25,,,5.271689470003133
3418,4563.0,10.5306,0.0509,57.9075,55.982,2.6664000000000003,158.724,114.5165,9.25,,,5.0671668448319105
3419,4563.5,10.5303,0.0475,58.4324,57.668,2.6766,153.7259,110.7962,9.25,,,5.035171146432901
3420,4564.0,10.5312,0.0344,58.8717,57.715,2.6675,181.9028,131.8009,9.25,,,5.203472478478721
3421,4564.5,10.5321,0.0135,59.1781,58.079,2.6595,289.9005,212.4975,9.25,,,5.669537760658789
3422,4565.0,10.5329,0.0056,59.1839,57.66,2.6667,462.0177,345.5279,9.25,,,6.135603202036177
3423,4565.5,10.5338,0.0047,58.9632,56.44,2.6853,827.3146,649.9337,9.25,,,6.718185033810271
3424,4566.0,10.5347,0.006,58.6273,53.959,2.6844,724.9587,561.8984,9.25,,,6.586114687714836
3425,4566.5,10.5355,0.0094,58.0114,51.416,2.7021,525.5942,396.6428,9.25,,,6.264529432101904
