,DEPTH,CAL,NPHI,DT,GR,RHOB,RLLD,RT,BS,positive_flag,negative_flag,RLLD_log
1,2910.5,8.805,-0.035,61.0326,64.677,2.356,8.856,14.7835,9.875,,-0.035,2.1810951954063356
2,2911.0,8.791,-0.035,60.7296,63.758,2.371,9.899,17.4435,9.875,,-0.035,2.2924337419376704
3,2911.5,8.762,-0.035,60.4639,61.31,2.385,9.728,17.1287,9.875,,-0.035,2.275008325223811
4,2912.0,8.723,-0.035,60.493,62.578,2.384,8.593,14.5229,9.875,,-0.035,2.150947918331086
5,2912.5,8.721,-0.035,60.5324,65.736,2.378,8.14,13.3704,9.875,,-0.035,2.096790180014449
6,2913.0,8.75,-0.035,60.5793,65.694,2.369,8.858,14.7144,9.875,,-0.035,2.1813210055010064
7,2913.5,8.765,-0.035,62.5366,66.874,2.353,9.458,15.7713,9.875,,-0.035,2.2468609442216843
8,2914.0,8.794,-0.035,64.4446,67.751,2.349,9.861,16.4866,9.875,,-0.035,2.2885875833501923
9,2914.5,8.811,-0.035,66.3632,67.401,2.355,9.555,15.7243,9.875,,-0.035,2.2570645776922365
10,2915.0,8.806,-0.035,68.4462,68.691,2.37,9.451,15.5987,9.875,,-0.035,2.246120556012919
11,2915.5,8.808,-0.035,69.8244,69.032,2.38,9.944,17.2464,9.875,,-0.035,2.29696935420841
12,2916.0,8.828,-0.036,70.4662,65.794,2.387,11.616,21.203,9.875,,-0.036,2.45238345808244
13,2916.5,8.863,-0.036,70.9332,62.067,2.401,16.696,32.2864,9.875,,-0.036,2.8151691697748995
14,2917.0,8.926,-0.037,69.6621,61.887,2.42,25.828,47.2592,9.875,,-0.037,3.2514591747642205
15,2917.5,9.112,-0.037,68.752,64.751,2.46,40.787,71.1221,9.875,,-0.037,3.708363403186624
16,2918.0,9.356,-0.038,67.55,66.622,2.518,66.95,117.6027,9.875,,-0.038,4.203946072137182
17,2918.5,9.553,-0.038,66.4404,67.55,2.573,79.103,127.1216,9.875,,-0.038,4.370750800729505
18,2919.0,9.619,-0.038,65.765,70.344,2.604,72.251,97.4031,9.875,,-0.038,4.280146167727208
19,2919.5,9.636,-0.039,65.6445,75.813,2.65,65.723,75.7493,9.875,,-0.039,4.185448940331724
20,2920.0,9.64,-0.039,65.3661,77.049,2.64,65.214,70.984,9.875,,-0.039,4.177674169809105
21,2920.5,9.633,-0.039,64.9628,72.568,2.655,69.131,77.3101,9.875,,-0.039,4.236003255352332
22,2921.0,9.636,-0.039,64.5052,67.676,2.669,67.322,73.1151,9.875,,-0.039,4.209487077734544
23,2921.5,9.639,-0.039,64.3932,67.807,2.661,62.101,62.7528,9.875,,-0.039,4.128762091869362
24,2922.0,9.639,-0.039,64.2835,68.931,2.669,58.973,56.8445,9.875,,-0.039,4.077079712043829
25,2922.5,9.645,-0.039,64.2326,68.106,2.694,58.535,55.5388,9.875,,-0.039,4.069624865931636
26,2923.0,9.654,-0.04,64.2315,67.455,2.693,59.706,56.5825,9.875,,-0.04,4.08943251786108
27,2923.5,9.664,-0.04,64.2317,68.507,2.679,62.073,59.6648,9.875,,-0.04,4.128311111785374
28,2924.0,9.668,-0.04,64.214,68.741,2.665,64.04,62.8342,9.875,,-0.04,4.159507888128514
29,2924.5,9.677,-0.04,64.2113,66.369,2.682,61.808,60.0774,9.875,,-0.04,4.1240328059239255
30,2925.0,9.697,-0.04,64.2764,64.966,2.697,57.029,54.2973,9.875,,-0.04,4.043559910383818
31,2925.5,9.729,-0.041,64.4379,66.045,2.696,51.909,48.7433,9.875,,-0.041,3.949492185542621
32,2926.0,9.772,-0.041,64.7352,68.772,2.681,45.638,40.177,9.875,,-0.041,3.8207407028242324
33,2926.5,9.816,-0.041,65.1517,72.45,2.662,38.72,34.4606,9.875,,-0.041,3.656356262408376
34,2927.0,9.856,-0.041,65.6013,76.272,2.664,37.211,33.2113,9.875,,-0.041,3.6166044164935216
